Gebietsschlüssel;Gebietsbezeichnung;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §19;Wähler;Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode Wahlbeteiligung;ungültige Erststimmen;gültige Erststimmen;ungültige Erststimmen in %;gültige Erstsstimmen in %;SPD Erststimmen;CDU Erststimmen;FDP Erststimmen;GRÜNE Erststimmen;Linke Erststimmen;REP Erststimmen;NPD Erststimmen;ödp Erststimmen;BüSo Erststimmen;ddp Erststimmen;FREIE WÄHLER Erststimmen;PIRATEN Erststimmen;Jansen Erststimmen;PBC Erststimmen;parteiunabhängig Erststimmen;Sonstige Erststimmen;;;;;;;;;;SPD Erststimmen in %;CDU Erststimmen in %;FDP Erststimmen in %;GRÜNE Erststimmen in %;Linke Erststimmen in %;REP Erststimmen in %;NPD Erststimmen in %;ödp Erststimmen in %;BüSo Erststimmen in %;ddp Erststimmen in %;FREIE WÄHLER Erststimmen in %;PIRATEN Erststimmen in %;Jansen Erststimmen in %;PBC Erststimmen in %;parteiunabhängig Erststimmen in %;Sonstige Erststimmen in %;;;;;;;;;;ungültige Zweitstimmen;gültige Zweitstimmen;ungültige Zweitstimmen in %;gültige Zweitstimmen in %;SPD Zweitstimmen;CDU Zweitstimmen;FDP Zweitstimmen;GRÜNE Zweitstimmen;Linke Zweitstimmen;REP Zweitstimmen;NPD Zweitstimmen;ödp Zweitstimmen;BüSo Zweitstimmen;ddp Zweitstimmen;FREIE WÄHLER Zweitstimmen;PIRATEN Zweitstimmen;Jansen Zweitstimmen;PBC Zweitstimmen;parteiunabhängig Zweitstimmen;Sonstige Zweitstimmen;;;;;;;;;;SPD Zweitstimmen in %;CDU Zweitstimmen in %;FDP Zweitstimmen in %;GRÜNE Zweitstimmen in %;Linke Zweitstimmen in %;REP Zweitstimmen in %;NPD Zweitstimmen in %;ödp Zweitstimmen in %;BüSo Zweitstimmen in %;ddp Zweitstimmen in %;FREIE WÄHLER Zweitstimmen in %;PIRATEN Zweitstimmen in %;Jansen Zweitstimmen in %;PBC Zweitstimmen in %;parteiunabhängig Zweitstimmen in %;Sonstige Zweitstimmen in %;;;;;;;;;;Gewählter Direktkandidat;Partei des Direktkandidaten;Anzahl Stimmbezirke;Anzahl ausgezählter Stimmbezirke;Zeitpunkt der letzten Änderung
1410000000;Rhein-Lahn-Kreis, Landkreis;97934;83310;14620;4;60679;13708;62;2;1857;58822;3,1;96,9;29387;17578;1836;6573;1958;;;;;;1490;;;;;;;;;;;;;;;50;29,9;3,1;11,2;3,3;;;;;;2,5;;;;;;;;;;;;;;;1645;59034;2,7;97,3;24963;18475;2341;8332;1748;268;494;178;38;37;1352;808;;;;;;;;;;;;;;42,3;31,3;4;14,1;3;0,5;0,8;0,3;0,1;0,1;2,3;1,4;;;;;;;;;;;;;;;;185;185;29.03.2011 14:42
1430000000;Westerwaldkreis, Landkreis;154720;131322;23397;1;94797;22220;61,3;2;2632;92165;2,8;97,2;35369;36654;4839;11860;3443;;;;;;;;;;;;;;;;;;;;;38,4;39,8;5,3;12,9;3,7;;;;;;;;;;;;;;;;;;;;;1962;92835;2,1;97,9;31222;36512;4113;13086;2886;441;1100;274;75;64;1430;1632;;;;;;;;;;;;;;33,6;39,3;4,4;14,1;3,1;0,5;1,2;0,3;0,1;0,1;1,5;1,8;;;;;;;;;;;;;;;;257;257;30.03.2011 09:51
2110000000;Trier, Kreisfreie Stadt;81445;68548;12897;0;45875;12489;56,3;2;865;45010;1,9;98,1;18022;14575;1389;8291;1552;;277;;;;;904;;;;;;;;;;;;;;40;32,4;3,1;18,4;3,4;;0,6;;;;;2;;;;;;;;;;;;;;678;45197;1,5;98,5;14369;14051;1756;10964;1575;97;322;140;29;52;764;1078;;;;;;;;;;;;;;31,8;31,1;3,9;24,3;3,5;0,2;0,7;0,3;0,1;0,1;1,7;2,4;;;;;;;;;;;;;;;;77;77;30.03.2011 12:38
2310000000;Bernkastel-Wittlich, Landkreis;89212;77867;11345;0;55244;10105;61,9;2;2051;53193;3,7;96,3;15386;23245;2698;7176;1719;;;;;;2969;;;;;;;;;;;;;;;28,9;43,7;5,1;13,5;3,2;;;;;;5,6;;;;;;;;;;;;;;;1798;53446;3,3;96,7;16499;22217;2676;7184;1359;239;418;105;29;202;1945;573;;;;;;;;;;;;;;30,9;41,6;5;13,4;2,5;0,4;0,8;0,2;0,1;0,4;3,6;1,1;;;;;;;;;;;;;;;;178;178;29.03.2011 11:46
2320000000;Eifelkreis Bitburg-Prüm;73611;63443;10168;0;45771;9627;62,2;2;2291;43480;5;95;13591;14422;2457;5836;1443;;;;;;5731;;;;;;;;;;;;;;;31,3;33,2;5,7;13,4;3,3;;;;;;13,2;;;;;;;;;;;;;;;1283;44488;2,8;97,2;13096;16098;1836;5801;1149;120;298;78;29;32;5463;488;;;;;;;;;;;;;;29,4;36,2;4,1;13;2,6;0,3;0,7;0,2;0,1;0,1;12,3;1,1;;;;;;;;;;;;;;;;262;262;30.03.2011 13:49
2330000000;Vulkaneifel, Landkreis;49442;43391;6051;0;30036;4735;60,7;2;928;29108;3,1;96,9;9839;11510;1726;2805;1023;;;;;;2205;;;;;;;;;;;;;;;33,8;39,5;5,9;9,6;3,5;;;;;;7,6;;;;;;;;;;;;;;;742;29294;2,5;97,5;8592;12574;1360;3516;875;109;214;62;24;28;1547;393;;;;;;;;;;;;;;29,3;42,9;4,6;12;3;0,4;0,7;0,2;0,1;0,1;5,3;1,3;;;;;;;;;;;;;;;;151;151;30.03.2011 14:25
2350000000;Trier-Saarburg, Landkreis;110777;96484;14293;0;71533;13517;64,6;2;2283;69250;3,2;96,8;23812;28030;2879;11182;2650;;;;;;;697;;;;;;;;;;;;;;34,4;40,5;4,2;16,1;3,8;;;;;;;1;;;;;;;;;;;;;;1590;69943;2,2;97,8;23870;25790;2458;11205;2245;229;539;142;50;60;2134;1221;;;;;;;;;;;;;;34,1;36,9;3,5;16;3,2;0,3;0,8;0,2;0,1;0,1;3,1;1,7;;;;;;;;;;;;;;;;178;178;31.03.2011 09:11
3110000000;Frankenthal (Pfalz), Kreisfreie Stadt;33912;29012;4900;0;19617;4697;57,8;2;472;19145;2,4;97,6;6484;8996;439;1974;807;;;;;;445;;;;;;;;;;;;;;;33,9;47;2,3;10,3;4,2;;;;;;2,3;;;;;;;;;;;;;;;427;19190;2,2;97,8;6827;7517;601;2389;709;206;249;29;17;15;309;322;;;;;;;;;;;;;;35,6;39,2;3,1;12,4;3,7;1,1;1,3;0,2;0,1;0,1;1,6;1,7;;;;;;;;;;;;;;;;50;50;29.03.2011 12:27
3120000000;Kaiserslautern, Kreisfreie Stadt;73749;64800;8949;0;39057;8649;53;2;941;38116;2,4;97,6;15268;10612;1649;5685;1893;;520;;;;1412;1077;;;;;;;;;;;;;;40,1;27,8;4,3;14,9;5;;1,4;;;;3,7;2,8;;;;;;;;;;;;;;759;38298;1,9;98,1;15139;10206;1670;6391;1866;251;655;108;39;60;937;976;;;;;;;;;;;;;;39,5;26,6;4,4;16,7;4,9;0,7;1,7;0,3;0,1;0,2;2,4;2,5;;;;;;;;;;;;;;;;78;78;30.03.2011 09:26
3130000000;Landau in der Pfalz, Kreisfreie Stadt;34037;28896;5141;0;20469;4879;60,1;2;490;19979;2,4;97,6;7560;6698;598;4064;706;353;;;;;;;;;;;;;;;;;;;;37,8;33,5;3;20,3;3,5;1,8;;;;;;;;;;;;;;;;;;;;363;20106;1,8;98,2;7314;5782;813;4441;600;176;157;83;20;12;271;437;;;;;;;;;;;;;;36,4;28,8;4;22,1;3;0,9;0,8;0,4;0,1;0,1;1,3;2,2;;;;;;;;;;;;;;;;36;36;28.03.2011 14:27
3140000000;Ludwigshafen am Rhein, Kreisfreie Stadt;103632;88360;15272;0;56494;14518;54,5;2;1281;55213;2,3;97,7;23367;17196;1562;7289;2546;1673;982;;;;;598;;;;;;;;;;;;;;42,3;31,1;2,8;13,2;4,6;3;1,8;;;;;1,1;;;;;;;;;;;;;;1092;55402;1,9;98,1;22575;15876;1837;8118;2428;1366;964;134;53;60;759;1232;;;;;;;;;;;;;;40,7;28,7;3,3;14,7;4,4;2,5;1,7;0,2;0,1;0,1;1,4;2,2;;;;;;;;;;;;;;;;147;147;30.03.2011 10:01
3150000000;Mainz, Kreisfreie Stadt;142042;115587;26455;0;92665;25092;65,2;2;1827;90838;2;98;30799;27972;4250;20329;2649;;;1566;183;;776;2314;;;;;;;;;;;;;;33,9;30,8;4,7;22,4;2,9;;;1,7;0,2;;0,9;2,5;;;;;;;;;;;;;;1272;91393;1,4;98,6;27443;27243;4656;23877;2806;1166;320;1068;86;70;759;1899;;;;;;;;;;;;;;30;29,8;5,1;26,1;3,1;1,3;0,4;1,2;0,1;0,1;0,8;2,1;;;;;;;;;;;;;;;;166;166;31.03.2011 15:06
3160000000;Neustadt an der Weinstraße, Kreisfreie Stadt;41236;33315;7917;4;26174;7565;63,5;2;664;25510;2,5;97,5;7642;9821;956;4206;629;;420;;;;1836;;;;;;;;;;;;;;;30;38,5;3,7;16,5;2,5;;1,6;;;;7,2;;;;;;;;;;;;;;;507;25667;1,9;98,1;8351;9212;1055;4475;563;127;338;69;24;16;1057;380;;;;;;;;;;;;;;32,5;35,9;4,1;17,4;2,2;0,5;1,3;0,3;0,1;0,1;4,1;1,5;;;;;;;;;;;;;;;;49;49;30.03.2011 11:19
3170000000;Pirmasens, Kreisfreie Stadt;32749;28134;4615;0;17563;4370;53,6;2;908;16655;5,2;94,8;5964;5789;1363;1638;702;928;271;;;;;;;;;;;;;;;;;;;35,8;34,8;8,2;9,8;4,2;5,6;1,6;;;;;;;;;;;;;;;;;;;786;16777;4,5;95,5;6981;5674;621;1399;688;706;233;29;19;22;182;223;;;;;;;;;;;;;;41,6;33,8;3,7;8,3;4,1;4,2;1,4;0,2;0,1;0,1;1,1;1,3;;;;;;;;;;;;;;;;60;60;28.03.2011 11:20
3180000000;Speyer, Kreisfreie Stadt;36641;30833;5808;0;21267;5590;58;2;417;20850;2;98;7187;7161;477;3874;773;534;;;;;844;;;;;;;;;;;;;;;34,5;34,3;2,3;18,6;3,7;2,6;;;;;4;;;;;;;;;;;;;;;354;20913;1,7;98,3;7160;6394;680;4396;720;404;132;79;12;10;631;295;;;;;;;;;;;;;;34,2;30,6;3,3;21;3,4;1,9;0,6;0,4;0,1;0;3;1,4;;;;;;;;;;;;;;;;49;49;28.03.2011 14:43
3190000000;Worms, Kreisfreie Stadt;59749;51809;7938;2;33754;7400;56,5;2;1360;32394;4;96;14582;10450;1516;4599;1247;;;;;;;;;;;;;;;;;;;;;45;32,3;4,7;14,2;3,8;;;;;;;;;;;;;;;;;;;;;990;32764;2,9;97,1;13572;10403;1244;4887;927;320;525;77;29;27;308;445;;;;;;;;;;;;;;41,4;31,8;3,8;14,9;2,8;1;1,6;0,2;0,1;0,1;0,9;1,4;;;;;;;;;;;;;;;;70;70;29.03.2011 15:33
3200000000;Zweibrücken, Kreisfreie Stadt;27112;24238;2874;0;14214;2651;52,4;2;403;13811;2,8;97,2;5716;3515;795;1933;853;;297;280;;;422;;;;;;;;;;;;;;;41,4;25,5;5,8;14;6,2;;2,2;2;;;3,1;;;;;;;;;;;;;;;322;13892;2,3;97,7;6103;3496;730;1823;744;68;270;124;13;10;242;269;;;;;;;;;;;;;;43,9;25,2;5,3;13,1;5,4;0,5;1,9;0,9;0,1;0,1;1,7;1,9;;;;;;;;;;;;;;;;37;37;29.03.2011 15:11
3310000000;Alzey-Worms, Landkreis;96823;80030;16793;0;62806;15906;64,9;2;1959;60847;3,1;96,9;26364;19232;2643;8462;1116;;887;769;;;1374;;;;;;;;;;;;;;;43,3;31,6;4,3;13,9;1,8;;1,5;1,3;;;2,3;;;;;;;;;;;;;;;1463;61343;2,3;97,7;24362;19442;2503;9260;1520;605;1086;355;54;57;1176;923;;;;;;;;;;;;;;39,7;31,7;4,1;15,1;2,5;1;1,8;0,6;0,1;0,1;1,9;1,5;;;;;;;;;;;;;;;;137;137;29.03.2011 16:02
3320000000;Bad Dürkheim, Landkreis;104668;82733;21935;0;69907;20900;66,8;2;1675;68232;2,4;97,6;24780;23582;3047;9256;1936;;1398;;;;4233;;;;;;;;;;;;;;;36,3;34,6;4,5;13,6;2,8;;2;;;;6,2;;;;;;;;;;;;;;;1424;68483;2;98;25180;22625;3072;10039;1766;512;1100;163;67;46;2801;1112;;;;;;;;;;;;;;36,8;33;4,5;14,7;2,6;0,7;1,6;0,2;0,1;0,1;4,1;1,6;;;;;;;;;;;;;;;;119;119;28.03.2011 13:49
3330000000;Donnersbergkreis, Landkreis;59355;49719;9636;0;36933;8961;62,2;2;823;36110;2,2;97,8;14352;12022;1012;4244;1285;;994;;;;1444;757;;;;;;;;;;;;;;39,7;33,3;2,8;11,8;3,6;;2,8;;;;4;2,1;;;;;;;;;;;;;;812;36121;2,2;97,8;15000;10279;1358;4943;1281;207;988;79;25;25;1215;721;;;;;;;;;;;;;;41,5;28,5;3,8;13,7;3,5;0,6;2,7;0,2;0,1;0,1;3,4;2;;;;;;;;;;;;;;;;119;119;30.03.2011 07:58
3340000000;Germersheim, Landkreis;93192;76694;16498;0;57763;15745;62;2;1248;56515;2,2;97,8;21678;21144;2181;6078;1449;1755;;471;;;1759;;;;;;;;;;;;;;;38,4;37,4;3,9;10,8;2,6;3,1;;0,8;;;3,1;;;;;;;;;;;;;;;1123;56640;1,9;98,1;21731;19073;2144;7584;1369;1235;629;386;55;57;1483;894;;;;;;;;;;;;;;38,4;33,7;3,8;13,4;2,4;2,2;1,1;0,7;0,1;0,1;2,6;1,6;;;;;;;;;;;;;;;;105;105;30.03.2011 09:28
3350000000;Kaiserslautern, Landkreis;82472;70066;12406;0;51907;11782;62,9;2;1650;50257;3,2;96,8;21415;17305;2080;5768;2332;;;;;;1008;349;;;;;;;;;;;;;;42,6;34,4;4,1;11,5;4,6;;;;;;2;0,7;;;;;;;;;;;;;;1212;50695;2,3;97,7;20691;16682;1718;5891;1752;463;884;131;53;54;1575;801;;;;;;;;;;;;;;40,8;32,9;3,4;11,6;3,5;0,9;1,7;0,3;0,1;0,1;3,1;1,6;;;;;;;;;;;;;;;;132;132;30.03.2011 08:40
3360000000;Kusel, Landkreis;59524;52942;6582;0;36503;6270;61,3;2;1100;35403;3;97;17186;8841;1002;5457;2056;;;;;;;861;;;;;;;;;;;;;;48,5;25;2,8;15,4;5,8;;;;;;;2,4;;;;;;;;;;;;;;907;35596;2,5;97,5;16475;8961;1048;4737;1697;391;641;85;33;26;677;825;;;;;;;;;;;;;;46,3;25,2;2,9;13,3;4,8;1,1;1,8;0,2;0,1;0,1;1,9;2,3;;;;;;;;;;;;;;;;123;123;29.03.2011 10:23
3370000000;Südliche Weinstraße, Landkreis;86778;71023;15755;0;59291;14991;68,3;2;1488;57803;2,5;97,5;26806;19883;1910;6688;1326;1190;;;;;;;;;;;;;;;;;;;;46,4;34,4;3,3;11,6;2,3;2,1;;;;;;;;;;;;;;;;;;;;1402;57889;2,4;97,6;22242;19631;2412;8795;1262;710;635;197;49;35;1070;851;;;;;;;;;;;;;;38,4;33,9;4,2;15,2;2,2;1,2;1,1;0,3;0,1;0,1;1,8;1,5;;;;;;;;;;;;;;;;106;106;29.03.2011 16:02
3380000000;Rhein-Pfalz-Kreis, Landkreis;115264;91670;23594;0;77856;27357;67,5;2;2111;75745;2,7;97,3;28017;29895;3287;10396;2542;579;;;;;1029;;;;;;;;;;;;;;;37;39,5;4,3;13,7;3,4;0,8;;;;;1,4;;;;;;;;;;;;;;;1541;76315;2;98;27201;27016;2961;11786;1834;1206;851;237;58;48;1652;1465;;;;;;;;;;;;;;35,6;35,4;3,9;15,4;2,4;1,6;1,1;0,3;0,1;0,1;2,2;1,9;;;;;;;;;;;;;;;;127;127;29.03.2011 09:03
3390000000;Mainz-Bingen, Landkreis;155256;127428;27810;18;105136;26564;67,7;2;2869;102267;2,7;97,3;39185;36717;4470;19092;;;;844;;;710;1249;;;;;;;;;;;;;;38,3;35,9;4,4;18,7;;;;0,8;;;0,7;1,2;;;;;;;;;;;;;;1750;103386;1,7;98,3;36571;34634;4527;20016;2233;896;768;646;75;56;1304;1660;;;;;;;;;;;;;;35,4;33,5;4,4;19,4;2,2;0,9;0,7;0,6;0,1;0,1;1,3;1,6;;;;;;;;;;;;;;;;194;194;29.03.2011 16:00
3400000000;Südwestpfalz, Landkreis;81072;66735;14335;2;53717;13656;66,3;2;1972;51745;3,7;96,3;19286;20008;2706;4880;1990;335;1236;90;;;1214;;;;;;;;;;;;;;;37,3;38,7;5,2;9,4;3,8;0,6;2,4;0,2;;;2,3;;;;;;;;;;;;;;;1615;52102;3;97;19735;19213;2415;5039;1745;708;947;161;49;46;1314;730;;;;;;;;;;;;;;37,9;36,9;4,6;9,7;3,3;1,4;1,8;0,3;0,1;0,1;2,5;1,4;;;;;;;;;;;;;;;;133;133;30.03.2011 08:54
1000000000000;Bezirk 1;842626;713116;129499;11;506145;119502;60,1;2;13896;492249;2,7;97,3;181660;194718;24109;68722;15673;299;;686;;;5645;;;;737;;;;;;;;;;;36,9;39,6;4,9;14;3,2;0,1;;0,1;;;1,1;;;;0,1;;;;;;;;;;;10009;496136;2;98;167349;192220;21966;74767;14539;2226;4652;1666;383;375;9101;6892;;;;;;;;;;;;;;33,7;38,7;4,4;15,1;2,9;0,4;0,9;0,3;0,1;0,1;1,8;1,4;;;;;;;;;;;;;;;;1349;1349;01.04.2011 09:15
1010000000000;Betzdorf / Kirchen (Sieg), Wahlkreis;45356;39868;5486;2;25786;4861;56,9;2;702;25084;2,7;97,3;9327;10066;1813;2832;1046;;;;;;;;;;;;;;;;;;;;;37,2;40,1;7,2;11,3;4,2;;;;;;;;;;;;;;;;;;;;;505;25281;2;98;8504;10146;1232;3470;880;109;330;70;22;14;247;257;;;;;;;;;;;;;;33,6;40,1;4,9;13,7;3,5;0,4;1,3;0,3;0,1;0,1;1;1;;;;;;;;;;;;;;Dr. Rosenbauer, Josef;CDU;58;58;04.04.2011 10:45
1011320000000;Altenkirchen (Ww.), Teilkreis;45356;39868;5486;2;25786;4861;56,9;2;702;25084;2,7;97,3;9327;10066;1813;2832;1046;;;;;;;;;;;;;;;;;;;;;37,2;40,1;7,2;11,3;4,2;;;;;;;;;;;;;;;;;;;;;505;25281;2;98;8504;10146;1232;3470;880;109;330;70;22;14;247;257;;;;;;;;;;;;;;33,6;40,1;4,9;13,7;3,5;0,4;1,3;0,3;0,1;0,1;1;1;;;;;;;;;;;;;;;;58;58;28.03.2011 11:42
1011320005000;Herdorf, Verbandsfreie Gemeinde;5428;4874;554;0;3403;122;62,7;2;145;3258;4,3;95,7;1075;1442;173;393;175;;;;;;;;;;;;;;;;;;;;;33;44,3;5,3;12,1;5,4;;;;;;;;;;;;;;;;;;;;;107;3296;3,1;96,9;1067;1386;101;449;152;21;64;14;2;1;11;28;;;;;;;;;;;;;;32,4;42,1;3,1;13,6;4,6;0,6;1,9;0,4;0,1;0;0,3;0,8;;;;;;;;;;;;;;;;7;7;27.03.2011 19:31
1011320200000;Betzdorf, VG;11502;10012;1490;0;6690;1434;58,2;2;157;6533;2,3;97,7;2538;2812;299;617;267;;;;;;;;;;;;;;;;;;;;;38,8;43;4,6;9,4;4,1;;;;;;;;;;;;;;;;;;;;;116;6574;1,7;98,3;2073;2879;254;868;238;25;78;11;5;2;70;71;;;;;;;;;;;;;;31,5;43,8;3,9;13,2;3,6;0,4;1,2;0,2;0,1;0;1,1;1,1;;;;;;;;;;;;;;;;14;14;27.03.2011 19:56
